NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Age,Study Type
NCT04327570,In-depth Immunological Investigation of COVID-19.,https://clinicaltrials.gov/study/NCT04327570,RECRUITING,Coronavirus Infections,OTHER: Patient sampling,Universitaire Ziekenhuizen KU Leuven,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05982704,Study of Tixagevimab/Cilgavimab and Regdanvimab Efficacy for Treatment of COVID-19,https://clinicaltrials.gov/study/NCT05982704,ACTIVE_NOT_RECRUITING,Coronavirus Infections,DRUG: tixagevimab/cilgavimab 150+150 mg|DRUG: tixagevimab/cilgavimab 300+300 mg|DRUG: regdanvimab,City Clinical Hospital No.52 of Moscow Healthcare Department,"Gamaleya Research Institute of Epidemiology and Microbiology, Health Ministry of the Russian Federation",ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04262921,French COVID Cohort,https://clinicaltrials.gov/study/NCT04262921,ACTIVE_NOT_RECRUITING,Coronavirus Infections,,"Institut National de la Santé Et de la Recherche Médicale, France",,ALL,"CHILD, ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04318366,"COVID-19 Patients Characterization, Biobank, Treatment Response and Outcome Predictor",https://clinicaltrials.gov/study/NCT04318366,RECRUITING,Coronavirus Infections,OTHER: Observational Study,Università Vita-Salute San Raffaele,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT05276388,Establishment of a Biological Biobank of Subjects Vaccinated Against SARS-CoV-2 Infection (COVID-19),https://clinicaltrials.gov/study/NCT05276388,ACTIVE_NOT_RECRUITING,Coronavirus Infections,OTHER: biological bank,IRCCS San Raffaele,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04429594,Study of the Incidence of SARS-CoV-2 Infection (COVID-19),https://clinicaltrials.gov/study/NCT04429594,RECRUITING,Coronavirus Infections,OTHER: blood sampling,Centre Hospitalier Universitaire de Nice,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04400838,Investigating a Vaccine Against COVID-19,https://clinicaltrials.gov/study/NCT04400838,ACTIVE_NOT_RECRUITING,Coronavirus,BIOLOGICAL: ChAdOx1 nCoV-19 (Abs 260)|BIOLOGICAL: MenACWY vaccine|BIOLOGICAL: ChAdOx1 nCoV-19 (Abs 260) + 2.2x10^10vp (qPCR) boost|BIOLOGICAL: Two dose MenACWY vaccine|BIOLOGICAL: ChAdOx1 nCoV-19 (qPCR)|BIOLOGICAL: ChAdOx1 nCoV-19 0.5mL prime plus boost|BIOLOGICAL: Two dose MenACWY vaccine min. 4 weeks apart|BIOLOGICAL: Two dose ChAdOx1 nCoV-19/Covishield 0.5mL|BIOLOGICAL: Two dose ChAdOx1 nCoV-19/Covishield 0.25mL & 0.5mL,University of Oxford,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
NCT04324606,A Study of a Candidate COVID-19 Vaccine (COV001),https://clinicaltrials.gov/study/NCT04324606,ACTIVE_NOT_RECRUITING,Coronavirus,BIOLOGICAL: ChAdOx1 nCoV-19|BIOLOGICAL: MenACWY|BIOLOGICAL: ChAdOx1 nCoV-19 full boost|BIOLOGICAL: ChAdOx1 nCoV-19 half boost|BIOLOGICAL: MenACWY boost|DRUG: Paracetamol|BIOLOGICAL: ChAdOx1 nCoV-19 0.5mL boost|BIOLOGICAL: ChAdOx1 nCoV-19 0.5mL (3.5-6.5x10^10vp) late vaccine (LV)|BIOLOGICAL: ChAdOx1 nCoV-19 0.5mL (3.5-6.5x10^10vp) late vaccine two (LVT),University of Oxford,,ALL,ADULT,INTERVENTIONAL
NCT04320732,Risk Factors for Community- and Workplace Transmission of COVID-19,https://clinicaltrials.gov/study/NCT04320732,RECRUITING,Coronavirus,BEHAVIORAL: Observation of behavior and COVID-19 infection will be conducted.,Oslo University Hospital,Age Labs AS,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04367857,ARMOR Study: COVID-19 Seroprevalence Among Healthcare Workers,https://clinicaltrials.gov/study/NCT04367857,RECRUITING,Covid-19|Coronavirus Infection|Coronavirus,OTHER: COVID-19 Serology|BEHAVIORAL: Health Care Worker Survey,Columbia University,,ALL,"ADULT, OLDER_ADULT",OBSERVATIONAL
NCT04514705,Characteristics in Post Covid-19 Patients,https://clinicaltrials.gov/study/NCT04514705,ACTIVE_NOT_RECRUITING,Coronavirus Infection,OTHER: Exercise,Universidade Metodista de Piracicaba,,ALL,"ADULT, OLDER_ADULT",INTERVENTIONAL
